ID,TMEM132A,CD6,CYBA,DGAT2,CHI3L2,PKM,SEMA3C,JAK3,CCL2,CD5,MYO1G,FKBP10,UCHL1,SLFN13,MS4A1,PTGER1,HACD1,RHOH,KRT19,SPHK1,FZD2,SOCS3,MROH2A,PDIA2,VEPH1,CARD11,UGT1A3,BATF3,NLR
TCGA-EP-A2KC,0.005493822,0.015273374,0.010817872,0.052284722,0.001781977,0.006049593,0.005926635,0.022642099,0.017150033,0.009248955,0.027491922,0.009666435,0.000624463,0.01301442,0.001804247,0.006491497,0.006147973,0.00378488,7.06E-05,0.006863046,0.007659338,0.033809409,0.02202567,0.000489736,0,0.016079213,0.086070732,0.031575527,0.070693656
TCGA-EP-A3JL,0.004649283,0.03834337,0.034276452,0.046792604,0.007673553,0.012205791,0.013076414,0.061551808,0.016131852,0.024011297,0.061098556,0.018030083,0.001201397,0.004132905,0.001776473,0.015149225,0.006791366,0.023579506,0.00095107,0.00606851,0.012222618,0.03506856,0.009325069,0.001043911,0.005502411,0.035947625,0.00688392,0.081686097,0.067849392
TCGA-EP-A3RK,0.008118851,0.111865858,0.079086685,0.034528339,0.098508342,0.020600865,0.006464346,0.148162607,0.031597,0.071532229,0.146980931,0.015570649,0.000817595,0.019899983,0.010333168,0.001478939,0.006995107,0.070623304,0.000594839,0.008754915,0.020184591,0.081611958,0.002488851,0.001114794,0.055940924,0.080755849,0.100864047,0.14027371,0.082908997
TCGA-ES-A2HS,0.003725012,0.004161588,0.012817118,0.06511091,0.001418214,0.001520142,0.002458106,0.008048789,0.012624552,0.000794053,0.006910334,0.016367835,0.000182801,0.001363013,0,0.002583645,0.00987965,0.002823952,5.63E-05,0.003979665,0.004430184,0.006363456,0.000699687,6.09E-05,0.000821504,0.001104226,0.001272458,0.024708541,0.037186604
TCGA-ES-A2HT,0.003661532,0.018129237,0.022899803,0.057332054,0.004807194,0.004443619,0.003134676,0.020332778,0.013267548,0.008035384,0.028253927,0.018201618,0.001745109,0.000849141,0.000138327,0.1473613,0.002627186,0.007920302,0.000190641,0.004127746,0.012306595,0.025863733,0.00105436,0,9.38E-05,0.009966739,0.00405843,0.036090474,0.148944812
TCGA-FV-A23B,0.01713201,0.031662191,0.101395637,0.113248691,0.00344884,0.011243027,0.002390153,0.042601846,0.012720075,0.02873552,0.053911809,0.009135208,0.000499046,0.021986802,0.003740286,0.001144288,0.011656128,0.027116799,1.24E-05,0.055744653,0.012547435,0.028292463,0,0.000700505,0.001452382,0.028562516,0.003001342,0.041100076,0.055588728
TCGA-FV-A2QQ,0.004395362,0.047424392,0.025453484,0.054001473,0.085673042,0.006710264,0.006863197,0.047832952,0.014153839,0.031380733,0.053609249,0.016489733,0.00062947,0.002757359,0.0046661,0.016653353,0.002023112,0.015580761,0.001404401,0.035535846,0.013460091,0.019382884,0.019119816,0.001374161,0.003149854,0.037283413,0.033704335,0.045217358,0.037275982
TCGA-FV-A2QR,0.012466984,0.013363997,0.012480936,0.158015784,0.001328425,0.02656652,0.017794677,0.021330418,0.015547436,0.007408552,0.026333975,0.019383661,0.001236447,0.002276388,0,0.003227757,0.006462521,0.008976832,5.26E-05,0.008022894,0.010639731,0.032159005,0.486004495,0.00174925,0.003222473,0.013045941,0.002118129,0.037351361,0.24587982
TCGA-FV-A3I0,0.37206449,0.018124316,0.337720339,0.002726217,0.036109212,0.436415428,0.700164268,0.162238878,1,0.014073902,0.059451282,0.108502561,0.013111489,0.163183935,8.06E-05,0.046876237,0.016413659,0.038682254,0.787821816,0.093868766,0.074848881,0.072927676,0.000216842,0.000764944,1,0.272261539,0.001183544,0.082088611,0.056484465
TCGA-FV-A3I1,0.016557134,0.055603217,0.033308903,0.106931939,0.01304481,0.022055635,0.05363516,0.074352835,0.025806935,0.048206438,0.09274415,0.053616971,0.001303447,0.073027705,0.00367548,0.003278134,0.005372328,0.033968314,0.001266712,0.018952567,0.018917013,0.076299241,0.002268497,0.056358328,0.004764116,0.061457731,0.034976793,0.075677484,0.128356354
